ID,product_id,product_name,$price,$url,$image,category,price_range,rider_category,frame_size,frame,front_suspension,rear_suspension,without_suspension,wheels_type,tires,shifters,front_derailleur,rear_derailleur,crank,cassette,pedals,saddle,seat_post,handlebars,stem,headset,brakeset
1,Madone 5.1 WSD-47 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,47 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer, SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
2,Madone 5.1 WSD-50 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,50 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
3,Madone 5.1 WSD-52 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,52 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
4,Madone 5.1 WSD-54 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,54 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
5,Madone 5.1 WSD-56 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,56 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
6,Madone 5.1 WSD-47 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,47 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer, SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
7,Madone 5.1 WSD-50 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,50 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
8,Madone 5.1 WSD-52 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,52 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
9,Madone 5.1 WSD-54 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,54 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
10,Madone 5.1 WSD-56 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,56 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
11,Madone 5.1 WSD-47 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,47 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer, SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
12,Madone 5.1 WSD-50 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,50 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
13,Madone 5.1 WSD-52 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,52 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
14,Madone 5.1 WSD-54 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,54 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
15,Madone 5.1 WSD-56 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,56 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
16,Madone 5.1 WSD-47 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,47 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer, SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
17,Madone 5.1 WSD-50 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,50 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
18,Madone 5.1 WSD-52 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,52 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
19,Madone 5.1 WSD-54 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,54 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
20,Madone 5.1 WSD-56 cm,Madone 5.1 WSD,$3459.99,http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,56 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 50/34,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
21,Madone 4.7 WSD-43 cm,Madone 4.7 WSD,$2619.99,http://www.trekbikes.com/us/en/bikes/women/road/madone47wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone47wsd_graysilver.jpg,road,"2,001 - 3,000",Adult - Female,43 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager Race,"Bontrager Race Lite, 650x23c","SRAM Rival, 10 speed",SRAM Rival,SRAM Rival,SRAM Rival 50/34,"SRAM PG-1070 11-28, 10 speed",,Bontrager inForm R2 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",SRAM Rival w/SRAM Rival levers
22,Madone 4.7 WSD-47 cm,Madone 4.7 WSD,$2619.99,http://www.trekbikes.com/us/en/bikes/women/road/madone47wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone47wsd_graysilver.jpg,road,"2,001 - 3,000",Adult - Female,47 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager Race,"Bontrager Race Lite, 700x23c","SRAM Rival, 10 speed",SRAM Rival,SRAM Rival,SRAM Rival 50/34,"SRAM PG-1070 11-28, 10 speed",,Bontrager inForm R2 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",SRAM Rival w/SRAM Rival levers
23,Madone 4.7 WSD-50 cm,Madone 4.7 WSD,$2619.99,http://www.trekbikes.com/us/en/bikes/women/road/madone47wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone47wsd_graysilver.jpg,road,"2,001 - 3,000",Adult - Female,50 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager Race,"Bontrager Race Lite, 700x23c","SRAM Rival, 10 speed",SRAM Rival,SRAM Rival,SRAM Rival 50/34,"SRAM PG-1070 11-28, 10 speed",,Bontrager inForm R2 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",SRAM Rival w/SRAM Rival levers
24,Madone 4.7 WSD-52 cm,Madone 4.7 WSD,$2619.99,http://www.trekbikes.com/us/en/bikes/women/road/madone47wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone47wsd_graysilver.jpg,road,"2,001 - 3,000",Adult - Female,52 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager Race,"Bontrager Race Lite, 700x23c","SRAM Rival, 10 speed",SRAM Rival,SRAM Rival,SRAM Rival 50/34,"SRAM PG-1070 11-28, 10 speed",,Bontrager inForm R2 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",SRAM Rival w/SRAM Rival levers
25,Madone 4.7 WSD-54 cm,Madone 4.7 WSD,$2619.99,http://www.trekbikes.com/us/en/bikes/women/road/madone47wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone47wsd_graysilver.jpg,road,"2,001 - 3,000",Adult - Female,54 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager Race,"Bontrager Race Lite, 700x23c","SRAM Rival, 10 speed",SRAM Rival,SRAM Rival,SRAM Rival 50/34,"SRAM PG-1070 11-28, 10 speed",,Bontrager inForm R2 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",SRAM Rival w/SRAM Rival levers
26,Madone 4.7 WSD-56 cm,Madone 4.7 WSD,$2619.99,http://www.trekbikes.com/us/en/bikes/women/road/madone47wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone47wsd_graysilver.jpg,road,"2,001 - 3,000",Adult - Female,56 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager Race,"Bontrager Race Lite, 700x23c","SRAM Rival, 10 speed",SRAM Rival,SRAM Rival,SRAM Rival 50/34,"SRAM PG-1070 11-28, 10 speed",,Bontrager inForm R2 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",SRAM Rival w/SRAM Rival levers
27,Madone 4.5 WSD-47 cm,Madone 4.5 WSD,$2099.99,http://www.trekbikes.com/us/en/bikes/women/road/madone45wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone45wsd_bluewhite.jpg,road,"2,001 - 3,000",Adult - Female,47 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager SSR,"Bontrager Race Lite, 700x23c","Shimano 105 STI, 10 speed",Shimano 105,Shimano Ultegra,Shimano R-553 50/39/30,"Shimano 105 12-27, 10 speed",,Bontrager inForm R1 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Tiagra w/Shimano 105 STI levers
28,Madone 4.5 WSD-50 cm,Madone 4.5 WSD,$2099.99,http://www.trekbikes.com/us/en/bikes/women/road/madone45wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone45wsd_bluewhite.jpg,road,"2,001 - 3,000",Adult - Female,50 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager SSR,"Bontrager Race Lite, 700x23c","Shimano 105 STI, 10 speed",Shimano 105,Shimano Ultegra,Shimano R-553 50/39/30,"Shimano 105 12-27, 10 speed",,Bontrager inForm R1 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Tiagra w/Shimano 105 STI levers
29,Madone 4.5 WSD-52 cm,Madone 4.5 WSD,$2099.99,http://www.trekbikes.com/us/en/bikes/women/road/madone45wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone45wsd_bluewhite.jpg,road,"2,001 - 3,000",Adult - Female,52 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager SSR,"Bontrager Race Lite, 700x23c","Shimano 105 STI, 10 speed",Shimano 105,Shimano Ultegra,Shimano R-553 50/39/30,"Shimano 105 12-27, 10 speed",,Bontrager inForm R1 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Tiagra w/Shimano 105 STI levers
30,Madone 4.5 WSD-54 cm,Madone 4.5 WSD,$2099.99,http://www.trekbikes.com/us/en/bikes/women/road/madone45wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone45wsd_bluewhite.jpg,road,"2,001 - 3,000",Adult - Female,54 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager SSR,"Bontrager Race Lite, 700x23c","Shimano 105 STI, 10 speed",Shimano 105,Shimano Ultegra,Shimano R-553 50/39/30,"Shimano 105 12-27, 10 speed",,Bontrager inForm R1 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Tiagra w/Shimano 105 STI levers
31,Madone 4.5 WSD-56 cm,Madone 4.5 WSD,$2099.99,http://www.trekbikes.com/us/en/bikes/women/road/madone45wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone45wsd_bluewhite.jpg,road,"2,001 - 3,000",Adult - Female,56 cm,"TCT Carbon, DuoTrap compatible",,,"Bontrager Race Lite, carbon w/E2 aluminum steerer",Bontrager SSR,"Bontrager Race Lite, 700x23c","Shimano 105 STI, 10 speed",Shimano 105,Shimano Ultegra,Shimano R-553 50/39/30,"Shimano 105 12-27, 10 speed",,Bontrager inForm R1 WSD,Bontrager Carbon,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Aheadset w/cartridge bearings, integrated, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Tiagra w/Shimano 105 STI levers
32,2.3 WSD-47 cm,2.3 WSD,$1809.99,http://www.trekbikes.com/us/en/bikes/women/road/23wsd/,http://www.trekbikes.com/images/bikes/2009/medium/23wsd_spearmintwhite.jpg,road,"1,001 - 2,000",Adult - Female,47 cm,Alpha Black Aluminum w/TCT Carbon stays,,,"Bontrager Race, carbon; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c","Shimano 105 STI, 10 speed w/Bontrager FIT reach adjust",Shimano 105,Shimano Ultegra,Shimano 105 50/34,"Shimano 105 11-25, 10 speed",,Bontrager Race Basic FIT,Bontrager Race Lite Basic,"Bontrager FIT VR, 31.8mm","Bontrager Race Lite OS, 7 degree, 31.8mm","Aheadset w/semi-cartridge bearings, integrated, sealed, alloy",Alloy dual pivot w/Shimano 105 STI levers
